item,itemLabel,sonderbundowner,sonderbundownerLabel,collection,collectionLabel
http://www.wikidata.org/entity/Q27970742,Mount Sainte-Victoire,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/.well-known/genid/434909f76dcc8ca5c179ea51f1e03bdf,http://www.wikidata.org/.well-known/genid/434909f76dcc8ca5c179ea51f1e03bdf
http://www.wikidata.org/entity/Q28126486,"The Bellevue Plain, also called The Red Earth (La Plaine de Bellevue, dit aussi Les Terres Rouges)",http://www.wikidata.org/entity/Q94753950,Adele Wolde,http://www.wikidata.org/entity/Q808462,Barnes Foundation
http://www.wikidata.org/entity/Q27062152,Bridge over the Rhine in Cologne,http://www.wikidata.org/entity/Q5147536,Josef Feinhals,http://www.wikidata.org/entity/Q32659772,Neue Nationalgalerie
http://www.wikidata.org/entity/Q26221149,Wheat Field with Sheaves,http://www.wikidata.org/entity/Q29441758,Margarete Mauthner,http://www.wikidata.org/entity/Q128316,Honolulu Museum of Art
http://www.wikidata.org/entity/Q867510,Cypresses,http://www.wikidata.org/entity/Q19502360,Fritz Meyer-Fierz,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q12842489,A Centennial of Independence,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q731126,J. Paul Getty Museum
http://www.wikidata.org/entity/Q104585989,The Two Brothers,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q194626,Kunstmuseum Basel
http://www.wikidata.org/entity/Q7933396,Violon and grapes,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q188740,Museum of Modern Art
http://www.wikidata.org/entity/Q21948567,Sunflowers,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q180788,National Gallery
http://www.wikidata.org/entity/Q28003231,Friends,http://www.wikidata.org/entity/Q55680361,Oskar Reichel,http://www.wikidata.org/entity/Q303139,Belvedere
http://www.wikidata.org/entity/Q4008948,Vase with Musk-mallows,http://www.wikidata.org/entity/Q78793,Tilla Durieux,http://www.wikidata.org/entity/Q685038,Kunsthaus Zürich
http://www.wikidata.org/entity/Q19911620,The Flowering Orchard,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q18891074,The Girls on the Bridge,http://www.wikidata.org/entity/Q101925,Eberhard Grisebach,http://www.wikidata.org/entity/Q700959,Wallraf–Richartz Museum
http://www.wikidata.org/entity/Q20190864,The Invocation,http://www.wikidata.org/entity/Q109134102,Elsa Tischner-von Durant,http://www.wikidata.org/entity/Q214867,National Gallery of Art
http://www.wikidata.org/entity/Q12842489,A Centennial of Independence,http://www.wikidata.org/entity/Q33011974,Edwin Suermondt,http://www.wikidata.org/entity/Q731126,J. Paul Getty Museum
http://www.wikidata.org/entity/Q106407115,Still Life of a Turkey,http://www.wikidata.org/entity/Q69860245,Mór Lipót Herzog,http://www.wikidata.org/.well-known/genid/fe6236e70f7988fd119bcd661cf89937,http://www.wikidata.org/.well-known/genid/fe6236e70f7988fd119bcd661cf89937
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q657415,Cleveland Museum of Art
http://www.wikidata.org/entity/Q26220102,Still Life (F.1972.44.P),http://www.wikidata.org/entity/Q2298253,Henk Bremmer,http://www.wikidata.org/entity/Q1752085,Norton Simon Museum
http://www.wikidata.org/entity/Q18748731,Inger on the Beach,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q11821612,Rain,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q510324,Philadelphia Museum of Art
http://www.wikidata.org/entity/Q11770767,"Still life with coffee pot, dishes and fruit",http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/.well-known/genid/a4007636597a91e0008e45e6c1aac711,http://www.wikidata.org/.well-known/genid/a4007636597a91e0008e45e6c1aac711
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q30071452,La Calanque-Temps gris,http://www.wikidata.org/entity/Q109282,Carl Hagemann,http://www.wikidata.org/entity/Q812285,Bavarian State Painting Collections
http://www.wikidata.org/entity/Q19882672,Artillerymen in the Shower,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q201469,Solomon R. Guggenheim Museum
http://www.wikidata.org/entity/Q26221201,Two Diggers among Trees,http://www.wikidata.org/entity/Q104530765,Hugo Nathan,http://www.wikidata.org/entity/Q1201549,Detroit Institute of Arts
http://www.wikidata.org/entity/Q24022779,Still Life: Potatoes in a Yellow Dish,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q1051928,Kröller-Müller Museum
http://www.wikidata.org/entity/Q4808368,Femme nue couchée,http://www.wikidata.org/entity/Q69860245,Mór Lipót Herzog,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f
http://www.wikidata.org/entity/Q50984848,The Agony in the Garden,http://www.wikidata.org/entity/Q69860245,Mór Lipót Herzog,http://www.wikidata.org/entity/Q840886,"Museum of Fine Arts, Budapest"
http://www.wikidata.org/entity/Q18891174,The Sick Child,http://www.wikidata.org/entity/Q1356542,Ernest Thiel,http://www.wikidata.org/entity/Q252259,Thiel Gallery
http://www.wikidata.org/entity/Q28008262,Still Life with Mutton and Hyacinth,http://www.wikidata.org/entity/Q55680361,Oskar Reichel,http://www.wikidata.org/entity/Q303139,Belvedere
http://www.wikidata.org/entity/Q28002707,Wildbad Gastein in the evening (with Bengal lights),http://www.wikidata.org/entity/Q55680361,Oskar Reichel,http://www.wikidata.org/entity/Q303139,Belvedere
http://www.wikidata.org/entity/Q1321055,Tilla Durieux,http://www.wikidata.org/entity/Q78793,Tilla Durieux,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q1117805,Postman Joseph Roulin,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/entity/Q49133,Museum of Fine Arts
http://www.wikidata.org/entity/Q18890481,Melancholy,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q78689007,Street in Tahiti,http://www.wikidata.org/entity/Q104530765,Hugo Nathan,http://www.wikidata.org/entity/Q1743116,Toledo Museum of Art
http://www.wikidata.org/entity/Q26221172,Enclosed Field with Ploughman,http://www.wikidata.org/entity/Q19502360,Fritz Meyer-Fierz,http://www.wikidata.org/.well-known/genid/937df6caa6ca6dcea80f30206350b412,http://www.wikidata.org/.well-known/genid/937df6caa6ca6dcea80f30206350b412
http://www.wikidata.org/entity/Q11771568,Madame Augustine Roulin with Baby,http://www.wikidata.org/entity/Q19502360,Fritz Meyer-Fierz,http://www.wikidata.org/entity/Q510324,Philadelphia Museum of Art
http://www.wikidata.org/entity/Q4103022,Rocks,http://www.wikidata.org/entity/Q29441758,Margarete Mauthner,http://www.wikidata.org/entity/Q1565911,"Museum of Fine Arts, Houston"
http://www.wikidata.org/entity/Q4008950,Irises,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q224124,Van Gogh Museum
http://www.wikidata.org/entity/Q52086999,The Little Yellow Horses (Die kleinen gelben Pferde),http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q14917275,Staatsgalerie Stuttgart
http://www.wikidata.org/entity/Q26220167,Winter (The Vicarage Garden under Snow),http://www.wikidata.org/entity/Q2298253,Henk Bremmer,http://www.wikidata.org/entity/Q1752085,Norton Simon Museum
http://www.wikidata.org/entity/Q60474736,The Aviator,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q657415,Cleveland Museum of Art
http://www.wikidata.org/entity/Q26221124,L'Arlésienne,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/entity/Q23402,Musée d'Orsay
http://www.wikidata.org/entity/Q60493612,Mandolinist,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q673833,Beyeler Foundation
http://www.wikidata.org/entity/Q9371890,Entrance to the Public Park in Arles,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/entity/Q578485,The Phillips Collection
http://www.wikidata.org/entity/Q109354198,Boy Holding a Blue Vase,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q7741188,The Hyde Collection
http://www.wikidata.org/entity/Q104541814,Portrait of Felix Auerbach,http://www.wikidata.org/entity/Q102104,Felix Auerbach,http://www.wikidata.org/entity/Q224124,Van Gogh Museum
http://www.wikidata.org/entity/Q20190142,"Green Wheat Fields, Auvers",http://www.wikidata.org/entity/Q15804115,Curt Hermann,http://www.wikidata.org/entity/Q214867,National Gallery of Art
http://www.wikidata.org/entity/Q60143718,Q60143718,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q1895953,National museum of modern art
http://www.wikidata.org/entity/Q28146931,Street in Saintes-Maries,http://www.wikidata.org/entity/Q61662,Carl Sternheim,http://www.wikidata.org/.well-known/genid/eebb2842bf5c2d453439398a703f152a,http://www.wikidata.org/.well-known/genid/eebb2842bf5c2d453439398a703f152a
http://www.wikidata.org/entity/Q4808368,Femme nue couchée,http://www.wikidata.org/entity/Q324935,Ferenc Hatvany,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f,http://www.wikidata.org/.well-known/genid/d5c3a99bdae1cc7f4be1024c1db3999f
http://www.wikidata.org/entity/Q26221232,The House of Père Pilon,http://www.wikidata.org/entity/Q156426,Alexej von Jawlensky,http://www.wikidata.org/entity/Q15697027,Collection Stavros Niarchos
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q657415,Cleveland Museum of Art
http://www.wikidata.org/entity/Q16939042,Jealousy,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q26221197,Two Peasant Women Digging in Field with Snow,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q20178788,Still Life with Apples,http://www.wikidata.org/entity/Q324935,Ferenc Hatvany,http://www.wikidata.org/entity/Q731126,J. Paul Getty Museum
http://www.wikidata.org/entity/Q60474736,The Aviator,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q19911666,Oleanders,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q27970742,Mount Sainte-Victoire,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q132783,Hermitage Museum
http://www.wikidata.org/entity/Q20553562,Two Nudes (Lovers),http://www.wikidata.org/entity/Q55680361,Oskar Reichel,http://www.wikidata.org/entity/Q49133,Museum of Fine Arts
http://www.wikidata.org/entity/Q18890630,Olga and Rosa Meissner,http://www.wikidata.org/entity/Q11157405,Rasmus Meyer,http://www.wikidata.org/entity/Q1770313,Art Museums of Bergen
http://www.wikidata.org/entity/Q11771568,Madame Augustine Roulin with Baby,http://www.wikidata.org/entity/Q19502360,Fritz Meyer-Fierz,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q26221197,Two Peasant Women Digging in Field with Snow,http://www.wikidata.org/entity/Q825450,Bernhard Koehler,http://www.wikidata.org/entity/Q666331,Foundation E.G. Bührle Collection
http://www.wikidata.org/entity/Q63869920,Avenue at Chantilly,http://www.wikidata.org/entity/Q1634926,Hugo Cassirer,http://www.wikidata.org/entity/Q1743116,Toledo Museum of Art
http://www.wikidata.org/entity/Q26221176,Two Poplars in the Alpilles near Saint-Rémy,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q42370205,NEPIP
http://www.wikidata.org/entity/Q5375476,Enclosed Field with Peasant,http://www.wikidata.org/entity/Q2554450,Johanna van Gogh-Bonger,http://www.wikidata.org/entity/Q1117704,Indianapolis Museum of Art
http://www.wikidata.org/entity/Q19911620,The Flowering Orchard,http://www.wikidata.org/entity/Q2298253,Henk Bremmer,http://www.wikidata.org/entity/Q160236,Metropolitan Museum of Art
http://www.wikidata.org/entity/Q7617093,Still Life with Profile of Laval,http://www.wikidata.org/entity/Q69860245,Mór Lipót Herzog,http://www.wikidata.org/entity/Q1117704,Indianapolis Museum of Art
http://www.wikidata.org/entity/Q49870534,Madame Cézanne in a Red Dress,http://www.wikidata.org/entity/Q74128,Alfred Flechtheim,http://www.wikidata.org/entity/Q82941,São Paulo Museum of Art
